title,answer,img,bogi1,bogi2,bogi3,bogi4
(가) 도구가 처음 사용된 시대의 생활 모습으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m1.gif?1573301992,철제 무기를 사용하였다.,농사를 짓고 가축을 길렀다.,청동으로 장신구를 제작하였다.,주로 동굴이나 막집에서 살았다.
(가) 나라에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m2.gif?1573301993,한의 침입으로 멸망하였다.,소도라는 신성 지역이 있었다.,영고라는 제천 행사를 열었다.,화랑도를 국가 조직으로 운영하였다.
밑줄 그은 ‘나’가 이끈 전투로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m3.gif?1573301993,살수 대첩,행주 대첩,진포 대첩,황산 대첩
(가) 국가에 대한 설명으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m5.gif?1573301994,8조법이 있었다.,왜에 칠지도를 보냈다.,독서삼품과를 실시하였다.,동맹을 열어 하늘에 제사를 지냈다.
밑줄 그은 ‘국가’의 수도가 위치햇던 곳을 지도에서 옳게 찾은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m7.gif?1573301994,(가),(나),(다),(라)
밑줄 그은 ‘이 인물’에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m8.gif?1573301994,삼국유사를 편찬하였다.,왕오천축국전을 저술하였다.,시무 10여 조를 왕에게 바쳤다.,무애가를 지어 불교 대중화에 기여하였다.
(가) 국가에 대한 설명으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m9.gif?1573301994,대조영이 건국하였다.,지방에 22담로를 두었다.,황산벌 전투에서 신라군에 패배하였다.,화백 회의에서 귀족들이 국정을 논의하였다.
(가)에 들어갈 인물로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m10.gif?1573301992,무왕,문무왕,장수왕,근초고왕
밑줄 그은 ‘왕’에 대한 설명으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m11.gif?1573301992,훈민정음을 창제하였다.,나당 동맹을 체결하였다.,북한산에 순수비를 세웠다.,대광현 등 발해 유민을 받아들였다.
(가)에 들어갈 인물로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m12.gif?1573301993,의천,혜초,원효,묘청
선생님의 질문에 대한 학생의 대답으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m13.gif?1573301993,상평통보가 사용되었어요.,고구마와 감자가 널리 재배되었어요.,권문세족이 대규모 토지를 소유했어요.,청해진에서 무역이 활발하게 이루어졌어요.
(가)~(다)의 사실을 일어난 순서대로 옳게 나열한 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m14.gif?1573301993,(가)-(나)-(다),(나)-(가)-(다),(나)-(다)-(가),(다)-(나)-(가)
다음 가상 인터뷰에 등장하는 왕의 업적으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m15.gif?1573301993,척화비를 세웠다.,탕평책을 실시하였다.,집현전을 설치하였다.,전국을 8도로 나누었다.
(가)에 들어갈 문화유산으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m17.gif?1573301993,삼국사기,팔만대장경,직지심체요절,얼인천강지곡
다음 내용을 볼 수 있는 책으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m18.gif?1573301993,칠정산,농사직설,동의보감,삼강행실도
(가) 인물이 한 일로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m19.gif?1573301993,4군 6진을 개척하였다.,수도를 한양으로 옮겼다.,삼정이정청을 설치하였다.,노비안검법을 실시하였다.
다음 가상 대화에 등장하는 왕의 업적으로 옳지 않은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m22.gif?1573301993,장용영을 설치하였다.,경국대전을 편찬하였다.,초계문신제를 실시하였다.,규장각의 기능을 강화하였다.
(가)에 들어갈 문화유산으로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m23.gif?1573301993,경복궁,창덕궁,창경궁,덕수궁
다음 자료에서 두 번째 답사할 곳에 대한 설명으로 옳은 것은?,3,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m25.gif?1573301993,갑신정변이 시작된 곳이다.,명성 황후가 시해된 곳이다.,고종이 황제 즉위식을 올린 곳이다.,조선군이 프랑스군과 전투를 벌인 곳이다.
밑줄 그은 ‘이 운동’의 전개 과정에서 있었던 일로 옳지 않은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m26.gif?1573301993,집강소가 설치되었다.,한성 조약이 체결되었다.,백산에서 4대 강령이 발표되었다.,농민군이 황토현에서 승리를 거두었다.
(가)에 들어갈 제도로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m27.gif?1573301993,직전법,영정법,호패법,대동법
밑줄 그은 ‘나’로 옳은 것은?,1,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m28.gif?1573301993,신돌석,김좌진,최익현,유인석
밑줄 그은 ‘이 사건’으로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m29.gif?1573301993,105인 사건,운요호 사건,헤이그 특사 사건,제너럴 셔먼호 사건
(가)에 들어갈 내용으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m30.gif?1573301993,추석,한식,칠석,대보름
밑줄 그은 ‘이 시기’에 있었던 사실로 옳은 것은?,2,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m31.gif?1573301993,방곡령이 선포되었다.,창씨개명이 실시되었다.,전민변정도감이 설치되었다.,신식 군대인 별기군이 창설되었다.
(가)에 들어갈 교육 기관으로 옳은 것은?,4,https://img.comcbt.com/cbt/data/k3/k320191027/k320191027m32.gif?1573301993,대성 학교,육영 공원,황푸 군관 학교,신흥 무관 학교
